dataset,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a0p5_b0p5_M100_L2_c1_2_train.json,2,1,2,100,50,49.9692,131,2893.18,33,2761.26
beta_a0p5_b0p5_M200_L2_c1_2_train.json,2,1,2,100,50,101.882,273,5726.92,68,5537.92
beta_a0p5_b0p5_M20_L2_c1_2_train.json,2,1,2,100,50,10.2508,27,584.84,7,554.9
beta_a0p5_b0p5_M500_L2_c1_2_train.json,2,1,2,100,50,247.6496,662,14239.08,164,13577.32
beta_a0p5_b0p5_M50_L2_c1_2_train.json,2,1,2,100,50,24.6224,63,1425.46,16,1406.87
beta_a0p5_b10_M100_L2_c1_2_train.json,2,1,2,100,50,4.5358,7,362.33,2,350.84
beta_a0p5_b10_M200_L2_c1_2_train.json,2,1,2,100,50,9.5332,15,752.69,4,726.03
beta_a0p5_b10_M20_L2_c1_2_train.json,2,1,2,100,50,0.9048,1,78.38,0,90.48
beta_a0p5_b10_M500_L2_c1_2_train.json,2,1,2,100,50,24.4006,39,1948.49,10,1871.52
beta_a0p5_b10_M50_L2_c1_2_train.json,2,1,2,100,50,2.3328,4,187.98,1,182.35
beta_a0p5_b1_M100_L2_c1_2_train.json,2,1,2,100,50,33.8352,75,2259.43,18,2251.01
beta_a0p5_b1_M200_L2_c1_2_train.json,2,1,2,100,50,67.4418,156,4552.46,40,4333.55
beta_a0p5_b1_M20_L2_c1_2_train.json,2,1,2,100,50,6.6232,15,450.13,4,427.61
beta_a0p5_b1_M500_L2_c1_2_train.json,2,1,2,100,50,169.0286,388,11299.76,99,10856.69
beta_a0p5_b1_M50_L2_c1_2_train.json,2,1,2,100,50,16.7688,39,1122.31,10,1063.47
beta_a0p5_b2_M100_L2_c1_2_train.json,2,1,2,100,50,20.091,38,1499.87,10,1433.61
beta_a0p5_b2_M200_L2_c1_2_train.json,2,1,2,100,50,40.3442,78,2963.19,21,2815.14
beta_a0p5_b2_M20_L2_c1_2_train.json,2,1,2,100,50,4.0486,8,301.07,2,290.36
